shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10386,45.451029,-73.648128,20015,4.346
10386,45.450974,-73.648528,20016,4.378
10386,45.450926,-73.648987,20017,4.414
10386,45.450899,-73.649425,20018,4.449
10386,45.450892,-73.649592,20019,4.462
10386,45.450880,-73.649984,20020,4.492
10386,45.450890,-73.650472,20021,4.530
10386,45.450919,-73.650983,20022,4.571
10386,45.450967,-73.651443,20023,4.607
10386,45.451021,-73.651897,20024,4.643
10386,45.451049,-73.652146,20025,4.663
10386,45.451078,-73.652354,20026,4.679
10386,45.451242,-73.653536,20027,4.774
10386,45.451568,-73.655877,20028,4.960
10386,45.451654,-73.656574,20029,5.016
10386,45.451851,-73.658086,20030,5.136
10386,45.452222,-73.660913,20031,5.361
10386,45.452905,-73.666112,20032,5.775
10386,45.452983,-73.666710,20033,5.823
10386,45.453053,-73.667289,20034,5.869
10386,45.453110,-73.668001,20035,5.925
10386,45.453127,-73.668405,20036,5.956
10386,45.453133,-73.668655,20037,5.976
10386,45.453138,-73.668887,20038,5.994
10386,45.453132,-73.669184,20039,6.017
10386,45.453127,-73.669382,20040,6.033
10386,45.453116,-73.669613,20041,6.051
10386,45.453107,-73.669784,20042,6.064
10386,45.453079,-73.670182,20043,6.096
10386,45.453039,-73.670593,20044,6.128
10386,45.452996,-73.670930,20045,6.155
10386,45.452865,-73.671797,20046,6.224
10386,45.452721,-73.672684,20047,6.295
10386,45.452585,-73.673525,20048,6.363
10386,45.452255,-73.675575,20049,6.528
10386,45.451966,-73.677343,20050,6.670
10386,45.451743,-73.678708,20051,6.779
10386,45.451527,-73.680060,20052,6.888
10386,45.450925,-73.683759,20053,7.185
10386,45.450579,-73.685920,20054,7.358
10386,45.450477,-73.686545,20055,7.409
10386,45.450329,-73.687472,20056,7.483
10386,45.450238,-73.688030,20057,7.528
10386,45.450082,-73.689009,20058,7.606
10386,45.449874,-73.690310,20059,7.711
10386,45.449817,-73.690699,20060,7.742
10386,45.449763,-73.691109,20061,7.774
10386,45.449729,-73.691406,20062,7.798
10386,45.449696,-73.691719,20063,7.823
10386,45.449653,-73.692212,20064,7.862
10386,45.449632,-73.692483,20065,7.883
10386,45.449494,-73.694377,20066,8.032
10386,45.449338,-73.696496,20067,8.199
10386,45.449226,-73.698010,20068,8.318
10386,45.449127,-73.699360,20069,8.424
10386,45.449010,-73.700930,20070,8.547
10386,45.448886,-73.702628,20071,8.681
10386,45.448822,-73.703490,20072,8.749
10386,45.448747,-73.704471,20073,8.826
10386,45.448694,-73.705182,20074,8.882
10386,45.448660,-73.705711,20075,8.924
10386,45.448641,-73.706046,20076,8.950
10386,45.448604,-73.706885,20077,9.016
10386,45.448598,-73.707385,20078,9.055
10386,45.448598,-73.707906,20079,9.095
10386,45.448616,-73.708975,20080,9.179
10386,45.448664,-73.711327,20081,9.363
10386,45.448664,-73.711327,30001,9.363
